"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2024","125.94","124.75","125.95","124.68","7.16M","1.61%"
"03/26/2024","123.95","124.40","124.73","123.89","7.29M","-0.36%"
"03/25/2024","124.40","125.18","125.27","124.32","7.66M","-0.65%"
"03/22/2024","125.21","126.00","126.10","125.18","6.77M","-0.34%"
"03/21/2024","125.64","124.99","125.94","124.79","9.97M","0.99%"
"03/20/2024","124.41","122.77","124.59","122.64","10.40M","1.20%"
"03/19/2024","122.93","121.93","122.94","121.86","8.84M","0.86%"
"03/18/2024","121.88","122.10","122.38","121.74","7.18M","-0.13%"
"03/15/2024","122.04","121.53","122.53","121.47","10.74M","0.02%"
"03/14/2024","122.02","122.73","122.86","121.21","9.68M","-0.42%"
"03/13/2024","122.54","122.02","122.82","122.02","8.01M","0.27%"
"03/12/2024","122.21","121.66","122.33","121.10","9.13M","0.44%"
"03/11/2024","121.67","121.92","122.18","120.82","9.18M","-0.52%"
"03/08/2024","122.30","122.86","123.50","121.96","10.16M","-0.22%"
"03/07/2024","122.57","122.37","122.73","122.07","7.94M","0.81%"
"03/06/2024","121.59","121.44","122.27","121.31","8.64M","0.52%"
"03/05/2024","120.96","121.69","122.02","120.45","12.00M","-0.82%"
"03/04/2024","121.96","121.52","122.31","121.52","11.89M","0.36%"
"03/01/2024","121.52","120.96","121.59","120.61","10.78M","0.43%"
"02/29/2024","121.00","121.00","121.27","120.41","9.66M","0.31%"
"02/28/2024","120.63","120.10","120.94","120.00","8.32M","0.34%"
"02/27/2024","120.22","120.30","120.34","119.71","6.28M","0.15%"
"02/26/2024","120.04","120.21","120.48","119.91","7.95M","-0.15%"
"02/23/2024","120.22","119.86","120.48","119.76","8.76M","0.53%"
"02/22/2024","119.59","118.82","119.81","118.74","10.60M","1.24%"
"02/21/2024","118.13","117.68","118.18","117.35","8.87M","0.40%"
"02/20/2024","117.66","117.62","118.04","117.38","7.39M","-0.31%"
"02/16/2024","118.03","118.47","118.86","117.90","8.74M","-0.60%"
"02/15/2024","118.74","118.00","118.81","117.83","11.64M","0.75%"
