"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2021","14,472.12","14,713.60","14,727.60","14,384.93","223.38M","-2.16%"
"10/01/2021","14,791.87","14,731.38","14,830.84","14,555.12","192.23M","0.70%"
"09/30/2021","14,689.62","14,830.30","14,888.22","14,684.55","203.20M","-0.43%"
"09/29/2021","14,752.89","14,835.51","14,914.92","14,727.41","182.14M","-0.12%"
"09/28/2021","14,770.30","15,001.98","15,040.57","14,758.98","241.47M","-2.86%"
"09/27/2021","15,204.83","15,205.23","15,240.58","15,106.45","154.50M","-0.81%"
"09/24/2021","15,329.68","15,222.97","15,345.54","15,209.16","129.34M","0.09%"
"09/23/2021","15,316.58","15,231.19","15,356.92","15,199.43","144.60M","0.92%"
"09/22/2021","15,176.51","15,073.95","15,230.34","15,029.90","171.16M","0.99%"
"09/21/2021","15,027.77","15,096.98","15,139.90","14,986.98","153.29M","0.10%"
"09/20/2021","15,012.18","15,068.65","15,157.26","14,821.03","229.84M","-2.10%"
"09/17/2021","15,333.47","15,481.43","15,485.21","15,291.04","453.63M","-1.18%"
"09/16/2021","15,515.91","15,452.67","15,539.14","15,370.88","157.64M","0.08%"
"09/15/2021","15,503.53","15,419.95","15,518.95","15,316.40","193.25M","0.78%"
"09/14/2021","15,382.90","15,505.78","15,525.97","15,352.06","171.39M","-0.33%"
"09/13/2021","15,434.50","15,545.66","15,562.28","15,351.70","174.43M","-0.04%"
"09/10/2021","15,440.75","15,648.05","15,673.50","15,433.43","172.65M","-0.77%"
"09/09/2021","15,561.05","15,639.44","15,675.46","15,556.74","140.37M","-0.38%"
"09/08/2021","15,620.85","15,669.01","15,669.01","15,528.45","151.55M","-0.35%"
"09/07/2021","15,675.76","15,662.30","15,701.40","15,610.23","162.99M","0.15%"
"09/03/2021","15,652.86","15,578.96","15,668.12","15,554.97","129.04M","0.31%"
"09/02/2021","15,604.25","15,656.28","15,681.75","15,554.29","142.46M","-0.05%"
"09/01/2021","15,611.57","15,637.13","15,696.42","15,603.67","157.20M","0.19%"
"08/31/2021","15,582.51","15,601.34","15,604.45","15,522.78","224.25M","-0.14%"
"08/30/2021","15,605.09","15,460.93","15,620.62","15,459.74","144.22M","1.12%"
"08/27/2021","15,432.95","15,305.75","15,447.03","15,292.74","153.36M","1.01%"
"08/26/2021","15,278.52","15,348.98","15,369.28","15,265.23","136.20M","-0.59%"
"08/25/2021","15,368.92","15,384.83","15,404.36","15,341.92","174.49M","0.07%"
"08/24/2021","15,357.68","15,338.92","15,384.42","15,319.55","147.83M","0.29%"
"08/23/2021","15,312.82","15,140.14","15,341.47","15,140.14","164.19M","1.46%"
"08/20/2021","15,092.57","14,974.06","15,103.94","14,968.87","176.44M","1.06%"
"08/19/2021","14,933.93","14,773.19","15,000.19","14,773.19","186.79M","0.51%"
"08/18/2021","14,857.92","14,975.02","15,039.90","14,846.51","152.36M","-0.97%"
"08/17/2021","15,002.83","15,018.94","15,062.70","14,906.22","159.61M","-0.91%"
"08/16/2021","15,140.77","15,090.05","15,142.03","14,931.15","157.03M","0.03%"
"08/13/2021","15,136.68","15,101.84","15,150.48","15,079.30","126.45M","0.32%"
"08/12/2021","15,088.98","15,012.60","15,097.91","14,956.25","150.50M","0.41%"
"08/11/2021","15,027.76","15,101.82","15,127.78","14,972.60","152.59M","-0.17%"
"08/10/2021","15,053.58","15,157.37","15,169.45","15,010.16","150.54M","-0.53%"
"08/09/2021","15,133.11","15,136.14","15,154.68","15,081.75","138.30M","0.16%"
"08/06/2021","15,109.36","15,125.74","15,162.34","15,063.02","153.25M","-0.48%"
"08/05/2021","15,181.64","15,105.40","15,184.27","15,083.83","152.62M","0.65%"
"08/04/2021","15,083.39","15,059.17","15,117.38","15,017.14","193.18M","0.15%"
"08/03/2021","15,061.42","14,997.20","15,063.66","14,864.53","166.87M","0.65%"
"08/02/2021","14,963.62","15,046.10","15,059.89","14,945.13","157.33M","0.02%"
"07/30/2021","14,959.90","14,882.39","14,990.86","14,882.39","189.00M","-0.59%"
"07/29/2021","15,048.36","15,015.30","15,091.96","15,004.42","177.41M","0.20%"
"07/28/2021","15,018.10","15,005.17","15,078.85","14,913.55","202.00M","0.41%"
"07/27/2021","14,956.97","15,103.01","15,107.74","14,787.80","220.40M","-1.12%"
"07/26/2021","15,125.95","15,088.28","15,142.35","15,048.23","168.93M","0.09%"
"07/23/2021","15,111.79","15,004.43","15,125.84","14,948.04","165.31M","1.15%"
"07/22/2021","14,940.17","14,865.47","14,941.38","14,865.47","138.61M","0.66%"
"07/21/2021","14,842.63","14,723.67","14,843.17","14,710.11","156.24M","0.78%"
"07/20/2021","14,728.21","14,601.33","14,790.60","14,530.78","276.12M","1.23%"
"07/19/2021","14,549.09","14,517.96","14,578.96","14,455.07","204.01M","-0.90%"
